연도,영역,문장,키워드,언론사
2025,기타,아울러 서구 국가유산 정책연구회와 공동 추진하며 각자의 전문지식과 풍부한 경험을 토대로 심도 있는 협의를 진행해 체계적이고 다각적인 성과를 거두었다,성과,스포츠동아
2025,안전혼잡,"매일일보 = 한철희 기자 | 오산시는 지난 16일, 세종 기획예산처 재정성과국을 방문해 분당선 오산 연장사업 예비타당성 조사 대상사업 선정 조속 추진 시급성을 적극 피력하고 기획예",성과,매일일보
2025,외국인,"“230년 전 정조의 꿈, 오늘날 수원에서 꽃피운다""
▲이재준 시장이 개막타종을 하고 있다  제공=수원시
제62회 수원화성문화제는 단순한 지역 축제를 넘어 230년 전 정조대왕의 애민정신과 개혁정신을 현대적으로 계승하고 세계와 공유하는 글로벌 문화 브랜드로 자리매김하고 있다","글로벌, 자리매김",에너지경제신문
2025,외국인,"< 저작권자 ⓒ 에너지경제 무단전재 및 재배포 금지 / 대한민국 경제의 힘, 에너지경제>
이재명, 장특공제 폐지 반대론에 직격…‘논리모순·명백한 선동’
다주택자 대출 연장 막혔다…‘버티기’ 어려운 차주 난감
호르무즈 해협 열렸다는데…트럼프·이란은 계속 ‘딴소리’ [이슈+]
기업대출 늘렸지만 연체도 뛰었다…‘생산적 금융’ 딜레마
“진화하는 전세사기 요즘 수법은” 은행권, 전세사기 예방 나선다
건설업 ‘大’구조조정…중소사 ‘줄도산’…대형사는 ‘군살 빼기’
제네시스 GV80, 프리미엄 SUV의 진수 [시승기]
[주간 신차] 시에라·파일럿 한정판 모델…씨라이언 7 트림 추가
“에너지 전환, 일자리 전환 담보 못해”…재생에너지공사 반대하는 노조 [이슈분석]
발전공기업 통합 ‘가속’…이르면 연내 마무리 수순
발전공기업 통합 ‘가속’…이르면 연내 마무리 수순
트러프·이란 “호르무즈 해협 완전 개방”…국제유가 급락
“부친 시신이 바뀌었다”…광주 장례식장 황당 사고에 유족 분통
제네시스 GV80, 프리미엄 SUV의 진수
대명에너지, 호남권 BESS 2건 동시 수주…ESS 시장 ‘강자’ 부상
호르무즈 해협 열렸다는데…트럼프·이란은 계속 ‘딴소리’ [이슈+]
글로벌 에너지 시장 뒤흔든 이란 전쟁…한국은 괜찮을까 [이슈+]
‘21세기 대군부인’ 초반 흥행…카카오엔터, ‘대박 IP’ 군불 지피기
민주당, 음주운전 처벌 은폐에도 가점 25% 적용’…김광란 전 광주시의원 재출마 기준 논란
141만 가구 공급…정보 접근부터 ‘답답’
한국 배터리 성장은 기술로 승부해야 한다
이재명 대통령, 규제의 덫을 깨고 구조를 겨냥하다
[신율의 정치 내시경] 절박함은 국민의힘에 없고, 전략은 민주당에 있다
[데스크 칼럼] 한은 새수장 신현송, 위기 겹친 경제 속 역할 무겁다
용산 개발 정화작업, ‘깜깜이’ 없어야
Copyright © 2020 에너지경제신문","글로벌, 공사, 흥행",에너지경제신문
2025,안전혼잡,"매일일보 = 한철희 기자 | 오산시는 지난 16일, 세종 기획예산처 재정성과국을 방문해 분당선 오산 연장사업 예비타당성 조사 대상사업 선정 조속 추진 시급성을 적극 피력하고 기획예",성과,매일일보
2025,기타,"한편 29일 행궁광장에서는 오후 12시부터 화성성역의궤에 기록된 장인들의 수원화성 축성과정을 경험하는 '정조의 꿈, 수원화성 축성을 도와줘'가 진행될 예정이다",성과,경기신문
2025,기타,"매일일보 = 한철희 기자 | 오산시는 지난 16일, 세종 기획예산처 재정성과국을 방문해 분당선 오산 연장사업 예비타당성 조사 대상사업 선정 조속 추진 시급성을 적극 피력하고 기획예",성과,매일일보
2025,외국인,"< 저작권자 ⓒ 에너지경제 무단전재 및 재배포 금지 / 대한민국 경제의 힘, 에너지경제>
이재명, 장특공제 폐지 반대론에 직격…‘논리모순·명백한 선동’
다주택자 대출 연장 막혔다…‘버티기’ 어려운 차주 난감
호르무즈 해협 열렸다는데…트럼프·이란은 계속 ‘딴소리’ [이슈+]
기업대출 늘렸지만 연체도 뛰었다…‘생산적 금융’ 딜레마
“진화하는 전세사기 요즘 수법은” 은행권, 전세사기 예방 나선다
건설업 ‘大’구조조정…중소사 ‘줄도산’…대형사는 ‘군살 빼기’
제네시스 GV80, 프리미엄 SUV의 진수 [시승기]
[주간 신차] 시에라·파일럿 한정판 모델…씨라이언 7 트림 추가
“에너지 전환, 일자리 전환 담보 못해”…재생에너지공사 반대하는 노조 [이슈분석]
발전공기업 통합 ‘가속’…이르면 연내 마무리 수순
발전공기업 통합 ‘가속’…이르면 연내 마무리 수순
트러프·이란 “호르무즈 해협 완전 개방”…국제유가 급락
“부친 시신이 바뀌었다”…광주 장례식장 황당 사고에 유족 분통
제네시스 GV80, 프리미엄 SUV의 진수
대명에너지, 호남권 BESS 2건 동시 수주…ESS 시장 ‘강자’ 부상
호르무즈 해협 열렸다는데…트럼프·이란은 계속 ‘딴소리’ [이슈+]
글로벌 에너지 시장 뒤흔든 이란 전쟁…한국은 괜찮을까 [이슈+]
‘21세기 대군부인’ 초반 흥행…카카오엔터, ‘대박 IP’ 군불 지피기
민주당, 음주운전 처벌 은폐에도 가점 25% 적용’…김광란 전 광주시의원 재출마 기준 논란
141만 가구 공급…정보 접근부터 ‘답답’
한국 배터리 성장은 기술로 승부해야 한다
이재명 대통령, 규제의 덫을 깨고 구조를 겨냥하다
[신율의 정치 내시경] 절박함은 국민의힘에 없고, 전략은 민주당에 있다
[데스크 칼럼] 한은 새수장 신현송, 위기 겹친 경제 속 역할 무겁다
용산 개발 정화작업, ‘깜깜이’ 없어야
Copyright © 2020 에너지경제신문","글로벌, 공사, 흥행",에너지경제신문
2025,외국인,수원화성문화제는 시민과 외국인 관광객 모두가 함께 즐길 수 있는 축제로 자리매김하고 있다,"외국인, 자리매김",브릿지경제
2025,콘텐츠,"정조대왕 능행차, 축제 초반 하이라이트
28일에는 축제의 대표 콘텐츠인 정조대왕 능행차가 열린다","콘텐츠, 대표 콘텐츠",시사저널
2025,안전혼잡,"매일일보 = 한철희 기자 | 오산시는 지난 16일, 세종 기획예산처 재정성과국을 방문해 분당선 오산 연장사업 예비타당성 조사 대상사업 선정 조속 추진 시급성을 적극 피력하고 기획예",성과,매일일보
2025,콘텐츠,수원화성문화제가 지난해 문화체육관광부 주관 3대 글로벌 축제로 선정된 만큼 자리매김을 위한 글로벌 프로그램이 준비됐다,"글로벌, 자리매김, 프로그램",경기신문
2025,외국인,"이어 ""정조의 개혁정신과 효문화를 바탕으로 역사와 문화의 체험, 낭만이 살아 숨쉬는 특별한 가을축제로 자리매김해 세계적인 글로벌 축제로 자리매김 하도록 최선을 다하겠다""고 덧붙였다","글로벌, 자리매김",경기신문
2025,외국인,"곽도용 수원시 문화청년체육국장은 22일 시청 중회의실에서 ‘세계유산 수원화성 3대 가을축제 언론브리핑’을 열고, “3대 가을축제가 글로벌축제로 자리매김하도록 최선을 다해 준비하겠다”고 말했다","글로벌, 자리매김",신아일보
2025,외국인,"곽도용 수원시 문화청년체육국장은 22일 시청 중회의실에서 ‘세계유산 수원화성 3대 가을축제 언론브리핑’을 열고, “3대 가을축제가 글로벌축제로 자리매김하도록 최선을 다해 준비하겠다”고 말했다","글로벌, 자리매김",헤럴드경제
2025,외국인,"곽도용 수원시 문화청년체육국장은 22일 시청 중회의실에서 '세계유산 수원화성 3대 가을축제 언론브리핑'을 열고 ""3대 가을축제가 글로벌축제로 자리매김하도록 최선을 다해 준비하겠다""고 말했다","글로벌, 자리매김",데일리안
2025,야간,"참가자는 용주사 명상, 사찰음식 체험, 수원화성과 화성행궁 탐방, 팔달문시장 자유 여행, 화성행궁 야간개장과 미디어아트 공연 등 다채로운 체험을 즐길 수 있다","야간, 성과",에너지경제신문
2025,콘텐츠,"경기관광공사 관계자는 “가족, 친구, 연인 등 누구나 젊은 감각과 느낌으로 전통을 새롭게 즐기며 역사와 문화를 체험할 수 있도록 이번 행사를 준비했다""며 “앞으로도 정조대왕 이산을 경기도의 정체성을 담은 대표 콘텐츠로 발전시켜 나가겠다""고 말했다","콘텐츠, 공사, 대표 콘텐츠",에너지경제신문
2025,외국인,"< 저작권자 ⓒ 에너지경제 무단전재 및 재배포 금지 / 대한민국 경제의 힘, 에너지경제>
이재명, 장특공제 폐지 반대론에 직격…‘논리모순·명백한 선동’
다주택자 대출 연장 막혔다…‘버티기’ 어려운 차주 난감
호르무즈 해협 열렸다는데…트럼프·이란은 계속 ‘딴소리’ [이슈+]
기업대출 늘렸지만 연체도 뛰었다…‘생산적 금융’ 딜레마
“진화하는 전세사기 요즘 수법은” 은행권, 전세사기 예방 나선다
건설업 ‘大’구조조정…중소사 ‘줄도산’…대형사는 ‘군살 빼기’
제네시스 GV80, 프리미엄 SUV의 진수 [시승기]
[주간 신차] 시에라·파일럿 한정판 모델…씨라이언 7 트림 추가
“에너지 전환, 일자리 전환 담보 못해”…재생에너지공사 반대하는 노조 [이슈분석]
발전공기업 통합 ‘가속’…이르면 연내 마무리 수순
발전공기업 통합 ‘가속’…이르면 연내 마무리 수순
트러프·이란 “호르무즈 해협 완전 개방”…국제유가 급락
“부친 시신이 바뀌었다”…광주 장례식장 황당 사고에 유족 분통
제네시스 GV80, 프리미엄 SUV의 진수
대명에너지, 호남권 BESS 2건 동시 수주…ESS 시장 ‘강자’ 부상
호르무즈 해협 열렸다는데…트럼프·이란은 계속 ‘딴소리’ [이슈+]
글로벌 에너지 시장 뒤흔든 이란 전쟁…한국은 괜찮을까 [이슈+]
‘21세기 대군부인’ 초반 흥행…카카오엔터, ‘대박 IP’ 군불 지피기
민주당, 음주운전 처벌 은폐에도 가점 25% 적용’…김광란 전 광주시의원 재출마 기준 논란
141만 가구 공급…정보 접근부터 ‘답답’
한국 배터리 성장은 기술로 승부해야 한다
이재명 대통령, 규제의 덫을 깨고 구조를 겨냥하다
[신율의 정치 내시경] 절박함은 국민의힘에 없고, 전략은 민주당에 있다
[데스크 칼럼] 한은 새수장 신현송, 위기 겹친 경제 속 역할 무겁다
용산 개발 정화작업, ‘깜깜이’ 없어야
Copyright © 2020 에너지경제신문","글로벌, 공사, 흥행",에너지경제신문
2025,야간,"참가자는 용주사 명상, 사찰음식 체험, 수원화성과 화성행궁 탐방, 팔달문시장 자유 여행, 화성행궁 야간개장과 미디어아트 공연 등 다채로운 체험을 즐길 수 있다","야간, 성과",머니투데이
2025,콘텐츠,"공사 관계자는 ""가족, 친구, 연인 등 누구나 젊은 감각과 느낌으로 전통을 새롭게 즐기며 역사와 문화를 체험할 수 있도록 이번 행사를 준비했다""면서 ""앞으로도 정조대왕 이산을 경기도의 정체성을 담은 대표 콘텐츠로 발전시켜 나가겠다""고 말했다","콘텐츠, 공사, 대표 콘텐츠",머니투데이
2025,야간,"참가자는 용주사 명상, 사찰음식 체험, 수원화성과 화성행궁 탐방, 팔달문시장 자유 여행, 화성행궁 야간개장과 미디어아트 공연 등 다채로운 체험을 즐길 수 있다","야간, 성과",이데일리
2025,콘텐츠,"경기관광공사 관계자는 “가족, 친구, 연인 등 누구나 젊은 감각과 느낌으로 전통을 새롭게 즐기며 역사와 문화를 체험할 수 있도록 이번 행사를 준비했다”며 “앞으로도 정조대왕 이산을 경기도의 정체성을 담은 대표 콘텐츠로 발전시켜 나가겠다”고 말했다","콘텐츠, 공사, 대표 콘텐츠",이데일리
2025,기타,"시 관계자는 ""3년 연속 ‘재난대응 안전한국훈련’ 우수기관으로 선정된 것은 철저한 준비와 유관기관 간 긴밀한 협력으로 이뤄낸 성과”라며 “시민 안전을 최우선 가치로 삼고, 재난 대응 역량을 지속해서 강화하겠다”고 말했다","안전, 성과",경기신문
2025,기타,"중앙정부의 정책 방향과 지방정부의 재정 운용
최근 「대한민국과 미합중국 간 전략적 투자의 운영 및 관리를 위한 특별법」 통칭 「대미투자특별법」의 특위 통과를 주도하고 본회의 의결까지 이끄는 등 정태호 의원이 보여준 굵직한 입법 성과는 그가 재정과 경제, 그리고 국가의 미래가 교차하는 지점에서 어떻게 현실적인 해법을 찾는지 보여준다",성과,M이코노미뉴스
2025,기타,앞으로도 국익을 최우선에 두고 변화하는 대외 환경에 효과적으로 대응할 수 있도록 필요한 제도적 뒷받침을 계속해 나가겠습니다,효과적,M이코노미뉴스
2025,외국인,"이미 글로벌 대회인 MSI(미드 시즌 인비테이셔널)를 유치한 바 있는 대전은, 이번 이터널 리턴 파이널과 배틀그라운드 모바일 프로시리즈(PMPS)까지 확보하며 국내외 e스포츠 산업의 중심지로 자리매김하고 있다","글로벌, 자리매김, 모바일",M이코노미뉴스
2025,기타,"특히 LG 클로이는 장시간 운용을 가능하게 하는 고성능 원통형 배터리를 탑재해 생활 로봇의 실질적 활용성을 높였으며, 혈액 수송 드론은 의료 물류 혁신을 위한 안정성과 장거리 운용 능력을 강조했다",성과,M이코노미뉴스
2025,기타,일한만큼 보상받는 성과급 제도와 작업 실명제를 도입했다,성과,일요서울i
2025,기타,"유준숙 의원(국민의힘, 행궁·지·우만1·2·인계)은 수원화성문화제의 위상을 언급하며 ""제62회를 맞는 수원화성문화제는 이미 전국적으로 자리매김한 만큼 다양한 채널을 통해 수원뿐 아닌 타 지자체 시민들에게 홍보를 철저히 해 달라""고 주문했다",자리매김,중앙신문
2025,기타,"이재형 의원(국민의힘, 원천·영통1)은 군공항 이전 사업 등 주요 현안을 거론하며 ""아직까지 뚜렷한 가시적 성과가 보이지 않는 것은 대외 협력이 원활히 이뤄지지 못하고 있는 결과""라고 우려를 표했다",성과,중앙신문
2025,콘텐츠,"시 관계자는 ""정조대왕이 꿈꾼 태평성대의 의미와 가치를 시민과 나누기 위해 이번 프로그램을 준비했다""며 ""참여자에게는 새롭고 특별한 경험을, 지역 주민에게는 세계유산 수원화성과 함께 성장하는 기회를 제공하겠다""고 말했다","성과, 프로그램",경기신문
2025,외국인,수원화성의 우수함을 느끼는 '수원화성문화제'는 60회를 넘기며 대한민국을 넘어 글로벌 축제로 자리매김했고 정조대왕 능행차 공동재현은 원행을묘정리의궤 속 모습을 그대로 재현하고 있다,"글로벌, 자리매김",경기신문
2025,콘텐츠,시는 올해 펼쳐질 제62회 수원화성문화제에서 세계문화유산인 수원화성과 함께 세계기록유산을 활용하는 축제 콘텐츠의 매력을 강화할 방침이다,"콘텐츠, 성과",경기신문
2025,콘텐츠,"정조대왕 능행차 등 대표 콘텐츠 강화, 다국어 서비스도 조만간 오픈
[수원=뉴시스] 웹페이지 화면","콘텐츠, 대표 콘텐츠",뉴시스
2025,기타,"/수원시
경기 수원시는 '제62회 수원화성문화제'의 정체성과 기대감을 담은 40초 분량의 홍보 영상을 '수원시 공식 유튜브'와 '수원화성문화제 인스타그램'에 공개했다고 28일 밝혔다",성과,더팩트
2025,콘텐츠,"이날 통합분과회의는 ‘XR(확장현실) 버스 1795행’ 탑승, 분과별 세부 활동 계획 토의, 수원화성박물관 관람, ‘수원화성과 정조’를 주제로 한 전문가 특강 순으로 진행됐다","주제, 성과",투어코리아
2025,콘텐츠,"올해 축제 추진 방향은▲세계문화유산 수원화성과 세계기록유산 활용 축제 콘텐츠 매력 강화▲전략적인 국내외 홍보·마케팅 추진으로 축제 인지도 제고,관람객 확보▲체계적인 축제 추진체계 구축,축제 운영 역량 제고▲시민 주도형 축제로 지속 성장할 수 있는 기반 마련 등이다","콘텐츠, 성과",유교신문
2025,콘텐츠,올해2년 차를 맞는 제4기 수원화성문화제 추진위원회는 올해▲분과별 자체 회의▲회의 안건을 추진하는 운영위원회▲역량 강화 프로그램 축제 분위기 조성을 위한 홍보▲축제 지원▲축제 추진 공유회·성과보고회 등 활동을 할 계획이다,"성과, 프로그램",유교신문
2024,콘텐츠,1위로 선정된 제61회 수원화성문화제는 '새빛축성'을 주제로 지난 10월4일부터 6일까지 사흘간 유네스코 세계문화유산인 수원화성과 행궁광장 일원에서 열렸다,"주제, 성과",뉴시스
2024,콘텐츠,"1964년 시작된 수원화성문화제는 대한민국 대표 축제로 자리매김하며 수원의 자랑이 되었고, 올해는 더욱 풍성한 프로그램으로 시민들을 맞이했습니다","자리매김, 프로그램",팍스경제TV
2024,기타,앞으로도 수원화성문화제가 더욱 발전하여 세계인이 함께 즐기는 축제로 자리매김하기를 기대합니다,자리매김,팍스경제TV
2024,콘텐츠,올해는 외국인과 함께하는 글로벌 프로그램과 시민들이 주인이 되는 시민 참여 프로그램이 성과를 거둔 풍성한 행사였다,"성과, 외국인, 글로벌, 프로그램",M이코노미뉴스
2024,기타,"중앙정부의 정책 방향과 지방정부의 재정 운용
최근 「대한민국과 미합중국 간 전략적 투자의 운영 및 관리를 위한 특별법」 통칭 「대미투자특별법」의 특위 통과를 주도하고 본회의 의결까지 이끄는 등 정태호 의원이 보여준 굵직한 입법 성과는 그가 재정과 경제, 그리고 국가의 미래가 교차하는 지점에서 어떻게 현실적인 해법을 찾는지 보여준다",성과,M이코노미뉴스
2024,기타,앞으로도 국익을 최우선에 두고 변화하는 대외 환경에 효과적으로 대응할 수 있도록 필요한 제도적 뒷받침을 계속해 나가겠습니다,효과적,M이코노미뉴스
2024,기타,"이미 글로벌 대회인 MSI(미드 시즌 인비테이셔널)를 유치한 바 있는 대전은, 이번 이터널 리턴 파이널과 배틀그라운드 모바일 프로시리즈(PMPS)까지 확보하며 국내외 e스포츠 산업의 중심지로 자리매김하고 있다","글로벌, 자리매김, 모바일",M이코노미뉴스
2024,기타,"특히 LG 클로이는 장시간 운용을 가능하게 하는 고성능 원통형 배터리를 탑재해 생활 로봇의 실질적 활용성을 높였으며, 혈액 수송 드론은 의료 물류 혁신을 위한 안정성과 장거리 운용 능력을 강조했다",성과,M이코노미뉴스
2024,콘텐츠,"3개 글로벌 축제의 대표 콘텐츠를 공연과 체험 프로그램으로 선보이고, 축제 연계 여행 상품 판매까지 이어질 수 있도록 돕는다","글로벌, 콘텐츠, 대표 콘텐츠, 연계, 프로그램",뉴시스
2024,콘텐츠,"화성문화제를 비롯해 3개 글로벌 축제의 대표 콘텐츠를 공연과 체험 프로그램으로 선보이고, 축제 연계 여행상품 판매에 나설 계획이다","글로벌, 콘텐츠, 대표 콘텐츠, 연계, 프로그램",머니투데이
2024,콘텐츠,"3개 글로벌 축제의 대표 콘텐츠를 공연과 체험 프로그램으로 선보이고, 축제 연계 여행상품 판매로까지 이어질 수 있도록 돕는다","글로벌, 콘텐츠, 대표 콘텐츠, 연계, 프로그램",한국강사신문
2024,콘텐츠,"3개 글로벌 축제의 대표 콘텐츠를 공연과 체험 프로그램으로 선보이고, 축제 연계 여행상품 판매로까지 이어질 수 있도록 돕는다","글로벌, 콘텐츠, 대표 콘텐츠, 연계, 프로그램",이로운넷
2024,콘텐츠,"3개 글로벌 축제의 대표 콘텐츠를 공연과 체험 프로그램으로 선보이고, 축제 연계 여행상품 판매로까지 이어질 수 있도록 돕는다","글로벌, 콘텐츠, 대표 콘텐츠, 연계, 프로그램",뉴스핌
2024,콘텐츠,"3개 글로벌 축제의 대표 콘텐츠를 공연과 체험 프로그램으로 선보이고, 축제 연계 여행상품 판매로까지 이어질 수 있도록 돕는다","글로벌, 콘텐츠, 대표 콘텐츠, 연계, 프로그램",라이브스뉴스
2024,콘텐츠,"3개 글로벌 축제의 대표 콘텐츠를 공연과 체험 프로그램으로 선보이고, 축제 연계 여행상품 판매로까지 이어질 수 있도록 돕는다","글로벌, 콘텐츠, 대표 콘텐츠, 연계, 프로그램",서울경제
2024,기타,"곽도용 수원시 문화청년체육국장은 “이번 ‘수원 3대 가을 축제’는 시민이 만들고 시민이 즐기는, 시민이 주인인 축제로 자리매김할 수 있도록 민·관이 역량을 결집시켜 대처할 것”이라고 말했다",자리매김,M이코노미뉴스
2024,기타,"중앙정부의 정책 방향과 지방정부의 재정 운용
최근 「대한민국과 미합중국 간 전략적 투자의 운영 및 관리를 위한 특별법」 통칭 「대미투자특별법」의 특위 통과를 주도하고 본회의 의결까지 이끄는 등 정태호 의원이 보여준 굵직한 입법 성과는 그가 재정과 경제, 그리고 국가의 미래가 교차하는 지점에서 어떻게 현실적인 해법을 찾는지 보여준다",성과,M이코노미뉴스
2024,기타,앞으로도 국익을 최우선에 두고 변화하는 대외 환경에 효과적으로 대응할 수 있도록 필요한 제도적 뒷받침을 계속해 나가겠습니다,효과적,M이코노미뉴스
2024,기타,"이미 글로벌 대회인 MSI(미드 시즌 인비테이셔널)를 유치한 바 있는 대전은, 이번 이터널 리턴 파이널과 배틀그라운드 모바일 프로시리즈(PMPS)까지 확보하며 국내외 e스포츠 산업의 중심지로 자리매김하고 있다","글로벌, 자리매김, 모바일",M이코노미뉴스
2024,기타,"특히 LG 클로이는 장시간 운용을 가능하게 하는 고성능 원통형 배터리를 탑재해 생활 로봇의 실질적 활용성을 높였으며, 혈액 수송 드론은 의료 물류 혁신을 위한 안정성과 장거리 운용 능력을 강조했다",성과,M이코노미뉴스
2024,기타,수원화성문화제는 유네스코 세계문화유산인 수원화성과 정조대왕의 개혁 이념을 기리는 문화축제다,성과,한스경제
2024,기타,‘정조대왕 능행차 공동재현’은 ‘수원화성문화제의 꽃’으로 불리며 한국을 대표하는 관광 축제로 자리매김했다,자리매김,한스경제
